PoliciesPCB2C,PricePCB2C,PricePCB2B,PriceLHB2C,Quarter1,Quarter2,Quarter3,Quarter4,BrandPC,BrandLH,Distribution,GTrends,Covid,Cars,Unemp,Competitor,MediaOnline,MediaOffline,Brand
371861.991746981,674.1338590979065,674.1338590979065,50830.7928880346,1,0,0,0,32,29.5,3653,9.666666666666666,0,100,11.917,119349859,1789691.4689999998,1786700.4099999997,0.32
314908.57113872695,779.3887208557006,779.3887208557006,50684.60666011502,0,1,0,0,32,29.5,2889,8.333333333333334,0,100,11.917,108290401,1558208.6649999998,2059671.1399999997,0.32
339006.261295052,634.6397908594382,634.6397908594382,44720.0038465648,0,0,1,0,32,29.5,2874,9,0,100,11.917,35230098,1171258.8329999999,656698.3770000001,0.32
365396.95952320006,464.5500540181974,464.5500540181974,39238.34419167647,0,0,0,1,32,29.5,2825,7.666666666666667,0,100,11.917,66082604,1513727.3419999997,319561.7,0.32
268407.469460159,679.5124451515599,679.5124451515599,36731.97531635682,1,0,0,0,36.2,35.5,2768,11,0,115.1018,11.667,36006349,1462564.721,3415366.309099999,0.36200000000000004
295398.712465818,675.0139072720657,675.0139072720657,39232.61584956346,0,1,0,0,36.2,35.5,2754,11.666666666666666,0,115.1018,11.667,76839981,820458.889,372051.13599999994,0.36200000000000004
269171.60729756905,730.1227447855188,730.1227447855188,43469.16304101803,0,0,1,0,36.2,35.5,2742,26.666666666666668,0,115.1018,11.667,51108714,696474.852,2011017.5299999996,0.36200000000000004
294941.33149995387,710.157105993634,710.157105993634,39790.40729343859,0,0,0,1,36.2,35.5,2724,24.666666666666668,0,115.1018,11.667,67703467,556635.576,261936.04538000008,0.36200000000000004
239023,718.7394406815971,718.7394406815971,41363.838740819905,1,0,0,0,38.5,33.5,2668,9.666666666666666,0,125.0135,11.267,17934694,381004.42600000004,3797265.574860001,0.385
303197.99033884297,700.8235204326401,700.8235204326401,40902.70060832086,0,1,0,0,38.5,33.5,2638,12.333333333333334,0,125.0135,11.267,41375098,326999.74824,641188.8387800001,0.385
285359.893655402,694.653988579745,694.653988579745,38473.524608459506,0,0,1,0,38.5,33.5,2628,13,0,125.0135,11.267,10681699,127522.52000000002,101999.95,0.385
291799.3378655149,781.7323450526475,781.7323450526475,39534.42946458081,0,0,0,1,38.5,33.5,2615,9.666666666666666,0,125.0135,11.267,61763218,308201.90499999997,2205240.633830001,0.385
303354.009529099,643.8680376441492,643.8680376441492,37194.29450188042,1,0,0,0,38.1,36.6,2583,9.333333333333334,0,121.3633,10.625,36287597,326431.21,1566353.5154300001,0.381
430165.990470901,530.7719424585779,530.7719424585779,36573.26441145542,0,1,0,0,38.1,36.6,2562,10,0,121.3633,10.625,61239683,152267.76,39712.50000000001,0.381
296140,637.1208370869058,637.1208370869058,43221.398068908726,0,0,1,0,38.1,36.6,2551,11.333333333333334,0,121.3633,10.625,53984345,165687.99,384644.5006900001,0.381
328675.67923780996,791.9094986891585,791.9094986891585,43259.51245182809,0,0,0,1,38.1,36.6,2524,12.666666666666666,0,121.3633,10.625,86278137,286452.45000000007,5016811.901240002,0.381
349593,521.7305670512,521.7305670512,44116.82151167801,1,0,0,0,34.6,41.5,2484,18.666666666666668,0,121.3633,9.95,66825089,168612.51000000004,2657661.9500099993,0.34600000000000003
368457,532.8767327144363,532.8767327144363,48029.02302027819,0,1,0,0,34.6,41.5,2468,19.666666666666668,0,121.36329999999997,9.95,129884264,329609.27,1089334.9345,0.34600000000000003
310031,539.123426126966,539.123426126966,55033.965454545476,0,0,1,0,34.6,41.5,2448,45,0,121.36329999999994,9.95,86031842,261539.40000000002,0,0.34600000000000003
292181,642.1501888963675,642.1501888963675,51905.8627517346,0,0,0,1,34.6,41.5,2427,27.666666666666668,0,121.36329999999992,9.95,125754392,488225.86,3883975,0.34600000000000003
260889,524.8081236621849,524.8081236621849,50380.33037972446,1,0,0,0,38.8,41.5,2389,14,0,121.3632999999999,12.7,95686119,385473.93,4187800,0.38799999999999996
325349,410.7302336831921,410.7302336831921,52290.023285027106,0,1,0,0,38.8,41.5,2377,10.666666666666666,80572,121.36329999999987,12.7,143476101,460916.57,1936687.8709399998,0.38799999999999996
357556,293.6421781223987,293.6421781223987,51089.04979806587,0,0,1,0,38.8,41.5,2373,10.333333333333334,15255,121.36329999999985,12.7,153284789,231468.56100000002,399539.7485,0.38799999999999996
394686,479.8819305437795,479.8819305437795,50641.7393726897,0,0,0,1,38.8,41.5,2355,10,52647,121.36329999999982,12.7,199148890,213141.15899999999,805000,0.38799999999999996
349030,397.3821107425657,397.3821107425657,56364.137292711144,1,0,0,0,38.79999999999999,41.5,2.36,10.666666666666666,574767,121.3632999999998,10.5,288635498,180482.7868852459,36550,0.3879999999999999
381207,406.8435015579317,406.8435015579317,50432.18577539758,0,1,0,0,38.79999999999998,41.5,2327,11.333333333333334,563479,121.36329999999977,10.5,192560061,143128.36653401642,4765992.570681803,0.38799999999999985
